 do not satisfy 	 is not consistent with 
 i wo n't be 	 i will not be 
 of states should not 	 should be no 
 document has not been 	 document was not formally 
 you 're not joining me 	 you ai n't comin ' in 
 has not indicated 	 did not state 
 stay long 	 'm not leaving 
 - he 's not going anywhere 	 i wo n't stop you 
 hey , listen up 	 you 're not listening 
 is low 	 are not sufficient 
 why do i say that 	 why not liked 
 have n't seen 	 have not seen 
 not do anything 	 nothing further 
 not feeling ill , mrs. chandler 	 not ill 
 'm done 	 'm not going 
 that were not yet parties 	 that had not yet become parties 
 not worked 	 not pass 
 that is no longer 	 this is not 
 well ... ... no 	 not after seeing you 
 is not a game 	 is n't a game 
 , i wo n't 	 i 'm not going 
 i did n't know 	 i did not know that 
 within a maximum period of 	 within a period not exceeding 
 'm not the only one 	 am not the only one 
 , with particular 	 , including but not limited 
 you mean it stopped 	 you mean i 'm not helping 
 that 's not even funny 	 that 's not funny , man 
 apply 	 is not applicable 
 there you go 	 - he 's not going anywhere 
 oh , look at me 	 i 'm not fucking american 
 does not mean , 	 does n't mean 
 ai n't my 	 is not my 
 were not in a position to 	 is unable to 
 no , you did n't 	 there does not 
 not allowed in here 	 not permitted 
 contain no 	 not given 
 let us not allow 	 will not allow 
 uh , sure 	 not checking in , yes 
 that have not yet signed 	 that have not signed 
 , i was n't 	 and i 'm not 
 these are n't 	 these are not 
 it is inappropriate to 	 it was not desirable to 
 not be considered 	 not be seen 
 no way , man . 	 not going to happen . 
 not notice 	 n't noticed , 
 would never 	 would not have been 
 - in particular 	 , including but not limited 
 'm not sure ... 	 do n't understand what happened . 
 not shooting in singapore 	 wrong , benjamin 
 let 's not 	 we 're not going 
 're not coming . 	 'm not going . 
 do not exist , 	 there is an absence 
 you are in danger 	 - you 're not safe 
 - no , he is n't 	 - i 'm not 
 i try not to 	 i 'm trying 
 , there can not 	 , it is not possible 
 is not in line 	 was not in conformity 
 he 's not coming back 	 he wo n't come back 
 not excluding 	 without excluding 
 - is he on the list 	 no , not at this time 
 , but not a 	 , but failed to 
 what is that ? 	 why not liked ? 
 should not simply 	 is not able 
 does n't exist 	 is not available 
 has been impossible 	 could not 
 falls 	 not 
 is not intended 	 is not to 
 are only allowed 	 can not but 
 shall not be affected by 	 was unaffected by 
 is not bound 	 shall not be required 
 - i 'm not doing anything 	 - i 'm not doing this 
 who wants to know 	 why the hell not 
 can not be accepted , 	 is unacceptable , 
 not helping . 	 n't help . 
 are finding it difficult 	 can not 
 did not plan 	 had no intention 
 i got here 	 i 'm not here 
 advised to 	 reminded not to 
 not touching the keys 	 not touch it 
 no , but 	 not yet , but 
 ai n't gonna 	 're not going 
 will not be able to 	 could not 
 oh , i 'm sorry 	 i 'm sorry i did not 
 surely not . 	 certainly not . 
 you know , why not ? 	 - why not ? 
 is not mandatory . 	 is not required . 
 can not be empty . 	 can not be blank . 
 claim is not 	 claim is outside 
 or is not 	 or refrain from 
 had not produced 	 have not provided 
 and it does not 	 and no longer 
 can not be edited . 	 can not be changed . 
 is more difficult to 	 can not easily 
 no family members , no girlfriends 	 not anyone 
 i 'm not fucking american 	 i said , look at me 
 unless he 	 if they were not 
 who does not have 	 who 's not 
 'm staying right here 	 'm not leaving 
 had neither 	 did not yet 
 is not mentioned in 	 is missing from 
 he is unable 	 he is not medically fit 
 was n't part 	 was not included 
 not just continue sitting 	 n't just stand there 
 not accept amendment 	 amendment tabled 
 not to bring in 	 not to bring into hong kong 
 and not only to 	 and not just for 
 own interests 	 interests not 
 're not ready 	 's not ready 
 does not imply that the 	 does not mean the 
 are not in a position to 	 is incapable of 
 's not like you 	 is n't you 
 are not being used 	 are not 
 's not right . 	 's just not fair . 
 we do not succeed in 	 we are unable to 
 take care not 	 be careful not 
 , least 	 are not so 
 i did n't do that . 	 you 're not there . 
 both aboriginal and non-aboriginal 	 aboriginal or not 
 not forget , 	 be borne in mind 
 's talk 	 not talking 
 whether or not they 	 whether the government has 
 know i am . 	 know i 'm not . 
 why not liked ? 	 how come you doing that ? 
 and were not 	 without any 
 determined by 	 did not specify 
 , it does not 	 , the committee is not 
 are not listening to 	 listens to 
 not end with 	 not restricted to 
 are non 	 shall not be 
 is no need 	 shall not be obliged to 
 are not saying that 	 does not mean that 
 not to say 	 not telling 
 that are unable to 	 which they can not 
 has not resulted 	 was the outcome 
 why , man 	 why is itnot working 
 this is no 	 it 's not 
 not represent 	 is not for 
