tender	tough
impermissibly	permissibly
asyndetic	syndetic
impermissibility	permissibility
seasonal	year-round
a_la_carte	table_d'hote
depress	elate
generous	ungenerous
big	small
intelligence	stupidity
erect	unerect
geocentric	heliocentric
evil	good
female	male
metamorphic	nonmetamorphic
camphorated	uncamphorated
carinate	ratite
sinkable	unsinkable
confined	invasive
original	unoriginal
saddle	unsaddle
flatten	sharpen
emotional	unemotional
monotheistic	polytheistic
scrupulousness	unscrupulousness
believably	unbelievably
thickly	thinly
paintable	unpaintable
impure	pure
dystopia	utopia
junior	senior
invisibility	visibility
caducous	persistent
intolerably	tolerably
activator	inhibitor
particular	universal
competitive	noncompetitive
profound	superficial
imprudently	prudently
bigness	littleness
intense	mild
binucleate	trinucleate
induced	spontaneous
aphelion	perihelion
hard_drug	soft_drug
deficit	lead
anteriority	posteriority
ascending	descending
civility	incivility
imprudent	prudent
favorably	unfavorably
informatively	uninformatively
formality	informality
gaseous	liquid
nonruminant	ruminant
servile	unservile
long-spurred	short-spurred
born	unborn
lean	rich
colorful	colorless
insured	uninsured
inviolable	violable
lidded	lidless
consideration	inconsideration
overachievement	underachievement
reliableness	unreliableness
isometric	isotonic
congruous	incongruous
painful	painless
immorality	morality
illiterate	literate
gracefully	ungracefully
cursorial	fossorial
rising_trot	sitting_trot
immovability	movability
cut	uncut
immodest	modest
bind	unbind
indoor	outdoor
effectually	ineffectually
endocrine	exocrine
anhydrous	hydrous
loaded	unloaded
judgment_in_personam	judgment_in_rem
clean	dirty
impolitely	politely
appointive	elective
nonterritorial	territorial
immoderate	moderate
reality	unreality
barreled	unbarreled
bolt	unbolt
blacken	whiten
harmfully	harmlessly
joyless	joyous
sensational	unsensational
inoffensively	offensively
live_birth	stillbirth
feathered	unfeathered
defuse	fuse
